!!!,sillyname,143.98649,Myth Takes,Myth Takes,2007
Neil Diamond,rock,224.57424,Primitive,Brooklyn On A Saturday Night,1984
Neil Diamond,rock,267.57179,Tennessee Moon,Reminisce For A While (Sung With Raul Malo),1996
Neil Sedaka,classic pop and rock,170.84036,Love Songs,Because Of You,1999
Neon Blonde,rock and indie,170.70975,Chandeliers In The Savannah,New Detroit,2005
New Order,british,288.02567,Technique [Collector's Edition],Guilty Partner,1989
New Order,british,421.95546,Jetstream,Jetstream - Arthur Baker Remix,2005
Nic Endo,american,388.0224,White Heat,Future Prospects,1998
Nick Cave & The Bad Seeds,seen live,202.05669,Live Seeds,New Morning (Live),1993
Nick Cave & The Bad Seeds,seen live,382.01424,Let Love In,Loverman,1994
Nick Cave & The Bad Seeds,seen live,315.08853,Murder Ballads,Stagger Lee,1996
Nick Cave & The Bad Seeds,seen live,283.74159,Nocturama,Still In Love,2003
Nick Cave & The Bad Seeds,seen live,180.03546,Nocturama,Rock Of Gibraltar,2003
Nick Cave & The Bad Seeds,seen live,345.75628,The Boatmans Call,Where Do We Go Now But Nowhere,2006
Nick Ingman,production music,179.43465,Bite Harder: The Music De Wolfe Studio Sampler_ Vol. 2,Down Home,1973
Nickelback,rock,260.33587,All The Right Reasons,Follow You Home (Album Version),2005
Nickelback,rock,119.7971,Photograph [Commercial Single],We Will Rock You,2005
Nickelback,rock,217.62567,NOW (That's What I Call Music) 22,Savin' Me,2005
Nickelback,rock,248.05832,Dark Horse,If Today Was Your Last Day (Album Version),2008
Nickelback featuring Kid Rock,rock,223.99955,Charlie's Angels: Full Throttle (Music From The Motion Picture),Saturday Night's Alright (For Fighting),2003
Nightwish,finnish,382.58893,Angels Fall First,Beauty And The Beast,1997
Nightwish,finnish,153.44281,Angels Fall First,Lappi Pt IV EtiA$?inen,1997
Nightwish,finnish,175.80363,Wishmaster,Sleepwalker,2000
Nightwish,finnish,238.54975,Once,Kuolema Tekee Taiteilijan,2004
Nightwish,finnish,301.06077,Made In Hong Kong (And In Various Other Places),Escapist,2007
Nightwish,finnish,834.66404,Dark Passion Play,The Poet And The Pendulum,2007
Nine Inch Nails,industrial rock,242.96444,Pretty Hate Machine,Sin,1989
Nine Inch Nails,industrial rock,441.96526,The Downward Spiral - Deluxe Edition,Memorabilia,1994
Nine Inch Nails,industrial rock,168.56771,Things Falling Apart,The Frail,1999
Nine Inch Nails,industrial rock,426.89261,Things Falling Apart,Metal,2000
Nine Inch Nails,industrial rock,256.83546,Survivalism,Survivalism,2007
Nino Nardini,production music,33.20118,Luke Vibert's Nuggets,Bumbling Along,2001
NOFX,american,144.50893,White Trash ......,Stickin In My Eye,1992
NOFX,american,143.64689,Punk In Drublic,My Heart Is Yearning,1994
NOFX,american,108.12036,Punk-O-Rama 6,Bath Of Least Resistance,2001
NOFX,american,158.11873,Wolves In Wolves' Clothing,We March To The Beat Of Indifferent Drum,2006
North Mississippi Allstars,blues,219.0624,Electric Blue Watermelon,Teasin' Brown,2005
North Mississippi Allstars,blues,166.21669,Barnyard (OST),2StepN,2006
Norther,finnish,122.72281,Till Death Unites Us,Fuck You,2006
Novaspace,german,231.54893,Supernova,Guardian Angel,2002
Novaspace,german,356.23138,DJ Edition,Summer Of Love,2004
Novaspace,german,389.61587,Dancing With Tears In My Eyes 2004,Dancing With Tears In My Eyes 2004 (Nova Mix (Club Version)),2004
Oceansize,progressive rock,249.93914,New Pin,New Pin (edit),2005
Ol' Dirty Bastard,wu-tang,181.62893,Return To The 36 Chambers: The Dirty Version,Hippa To Da Hoppa [Explicit Version],1995
Old Man's Child,norwegian,317.12608,Ill-natured Spiritual Invasion,Towards Eternity,1998
Old Man's Child,norwegian,288.44363,In Defiance Of Existence,Life Deprived,2003
Olga TaA+-A3n,ace of base,279.53587,100% Merengue,Como Olvidar (Merengue VersiA3n),2006
Olga TaA+-on,ace of base,254.1971,Sobrevivir,Ojos Negros,2002
Oliver Kalkofe,german,549.3024,Kalkofe liest Asmussen - Lachen ist gesund Vol.1,Kapitel 4,2008
Olivia Ruiz,star academy,230.24281,J'Aime Pas L'Amour,EnervA(c),2004
Olivia Ruiz,star academy,252.86485,La Femme Chocolat,Vitrier,2005
Onyx,hip hop rnb and dance hall,255.50322,Onyx/ Bacdafucup II,Wet The Club,2002
Orbital,british,192.20853,Halcyon - The Platinum Collection,Chime (edit),1990
Orbital,british,933.642,Snivilisation,Are We Here ?,1994
Orbital,british,478.45832,Snivilisation,Forever,1994
Orbital,british,467.53914,The Middle Of Nowhere,I Don't Know You People,1999
Orbital,british,521.56036,In Sides,Adnans,1999
Orbital,british,327.8624,The Altogether,Illuminate,2001
Orbital,british,504.47628,Halcyon - The Platinum Collection,Farenheit 303,2005
Organized Konfusion,group,198.3473,The Equinox,Hate,1997
OutKast,funk,366.39302,Southernplayalisticadillacmuzik,Call Of Da Wild,1994
OutKast,funk,118.9873,ATLiens,Wailin',1996
OutKast,funk,289.25342,Aquemini,"Return Of The ""G",1998
OutKast,funk,323.10812,Speakerboxxx/The Love Below,Happy Valentine's Day,2003
OutKast featuring George Clinton,funk,311.30077,Aquemini,Synthesizer,1998
OV7,latin,164.33587,CD00,Volvere,2000
OV7,latin,239.67302,7 Latidos,Una na na,2001
Owl City,united states,187.6371,Of June,Panda Bear,2007
Owl City,united states,301.16526,Ocean Eyes,On The Wing,2008
Panic! At The Disco,pop and chart,210.25914,A Fever You Can't Sweat Out,I Constantly Thank God For Esteban (Album Version),2005
Panzer AG,electronic,233.27302,THIS IS MY BATTLEFIELD,bereit,2004
Panzer AG,electronic,305.05751,YOUR WORLD IS BURNING,WHEN I AM YOU,2006
Pascal Obispo,french,231.00036,Un Jour Comme Aujourd' Hui,Chlore,1994
Pascal Obispo,french,237.63546,Fan,La PrA(c)tention De Rien,2004
Pascal Obispo,french,246.56934,Les Fleurs Du Bien,La Machine,2006
Pat Green,country,295.75791,Three Days,Threadbare Gypsy Soul,2001
Pat Metheny,jazz and blues,338.02404,New Chautauqua,Hermitage,1979
Pat Metheny,jazz and blues,711.70567,Day Trip/Tokyo Day Trip,Traveling Fast,2008
Patricia Kaas,french,247.11791,Mademoiselle Chante,Elle Voulait Jouer Cabaret,1988
Patsy Cline,country,168.95955,Music Trends - Country Busters,A Poor Man's Roses,1961
Patsy Cline,country,148.40118,Walkin' After Midnight - The Original Sessions Vol. I,I Cried All The Way To The Altar,1995
PATSY CLINE & WILLIE NELSON,country,175.41179,Rhinestone Cowboy,Life's Railway To Heaven,1991
Patti Smith,classic pop and rock,293.53751,Gone Again,Wing,1996
Patti Smith,classic pop and rock,283.19302,Gung Ho,Lo and Beholden,2000
Patti Smith Group,classic pop and rock,284.21179,Original Album Classics,Wave,1979
Patty Griffin,country,208.32608,Living With Ghosts,Moses,1996
Patty Griffin,country,191.39873,Living With Ghosts,Let Him Fly,1996
Patty Griffin,country,134.05995,Flaming Red,Flaming Red,1998
Patty Griffin,country,256.39138,Downtown Church,All Creatures Of Our God And King,2010
Paul Stanley,heavy metal,191.55546,Paul Stanley,Move On,1978
Pearl Jam,grunge,235.25832,Seattle Washington November 5 2000,Wishlist,1998
Pearl Jam,grunge,268.69506,Riot Act,You Are,2002
Pearl Jam,grunge,428.56444,Pearl Jam,Inside Job,2006
Peggy Lee,jazz,200.6722,Happy Day Collection - Fonzie's Women,Mr. Wonderful,1992
Peggy Zina,greek,200.38485,To Pathos Ine Aformi,O Hiroteros Ehthros Mou,2009
Penguin CafA(c) Orchestra,uk,72.77669,Preludes_ Airs And Yodels (A Penguin Cafe Primer),Harmonic Necklace,1981
Penguin CafA(c) Orchestra,uk,275.12118,Signs Of Life,Horns Of The Bull,1987
Penguin CafA(c) Orchestra,uk,270.78485,A Brief History,Bean Fields (Live) (2001 Digital Remaster),2001
Pennywise,skate punk,242.33751,Fuse_ The,Lies,2005
Pennywise,skate punk,159.89506,The Fuse,6TH Avenue Nightmare,2005
Pennywise,skate punk,154.85342,Fuse_ The,Yell Out,2005
Perrey And Kingsley,classical,137.19465,The Out Sound From Way In!,The Minuet Of The Robots,1968
Perrey And Kingsley,classical,127.9473,The Out Sound From Way In!,Gossippo Perpetuo,2001
Peter Tosh,reggae,238.23628,Bush Doctor,Soon Come (2002 Digital Remaster),1978
Peter Tosh,reggae,371.1473,Bush Doctor,Stand Firm (2002 Digital Remaster),1978
Phantom Planet,alternative rock,164.12689,Phantom Planet,After Hours,2004
Phantom Planet,alternative rock,120.65914,Negatives,Here I Am,2004
Phantom Planet,alternative rock,209.34485,Live 2004,The Meantime,2004
Phantom Planet,alternative rock,169.84771,Raise The Dead,Leader (Album Version),2008
Phil Collins,british,154.93179,Face Value,I'm Not Moving,1981
Phil Collins,british,316.39465,Hello_ I Must Be Going,I Cannot Believe It's True,1982
Phil Collins,british,285.98812,Hits,One More Night,1985
Phil Collins,british,204.19873,Love Songs,Two Hearts,1988
Phil Collins,british,174.23628,Serious Hits... Live!,You Can't Hurry Love (Live),1990
Phil Collins,british,346.5922,Both Sides,Please Come Out Tonight,1993
Phil Collins,british,343.43138,Both Sides,Everyday,1993
Phil Collins,british,262.00771,Dance Into The Light,Dance Into The Light (LP Version),1996
Phil Collins,british,260.96281,Dance Into The Light,That's What You Said  (LP Version),1996
Phil Collins,british,392.82893,Love Songs,Testify,2002
Phil Collins,british,216.92036,Brother Bear Original Soundtrack (English Version),Welcome,2003
Philip Glass,soundtrack,93.33506,Theater Music Archive Volume 1,Left Alone...,2007
Photek,jungle,421.19791,Modus Operandi,124,1997
Photek,jungle,157.3873,Solaris,Under The Palms,2000
Photek,jungle,326.922,Solaris,Terminus,2000
Photek,jungle,327.88853,Solaris,Junk,2000
Piero Umiliani,italian,234.57914,La legge dei gangsters,Apertura in jazz,1998
Pink Floyd,progressive rock,187.42812,The Piper At The Gates Of Dawn,Matilda Mother (Stereo) (2007 Remaster),1967
Pink Floyd,progressive rock,188.1073,Obscured By Clouds,The Gold It's In The ... (1996 Digital Remaster),1972
Placebo,alternative rock,237.94893,Every You Every Me,Every You Every Me (Infected By The Scourge Of The Earth),1999
Placebo,alternative rock,246.96118,Black Market Music,Slave To The Wage,2000
Placebo,alternative rock,241.52771,Sleeping With Ghosts,English Summer Rain,2003
Placebo,alternative rock,223.92118,Covers,Where Is My Mind (XFM Live Version),2003
Placebo,alternative rock,260.75383,The Bitter End,Evalia,2003
Placebo,alternative rock,180.13995,The Never Ending Why,Hardly Wait,2009
Placebo,alternative rock,221.6224,Bright Lights,The Never-Ending Why,2009
Planxty,folk,139.72853,Planxty,Follow Me Up To Carlow,1973
Planxty,folk,156.18567,Planxty,Junior Crehan's Favourite - Corney Is Coming,1973
Plasmatics,punk,230.66077,New Hope For The Wretched,Sometimes I,1979
Plasmatics,punk,344.24118,New Hope For The Wretched,Dream Lover,1980
Plasmatics,punk,168.25424,Coup D'Etat (UK),Lightning Breaks,1996
Plies,soul and reggae,233.42975,The Real Testament,Goons Lurkin (Instrumental Album Version),2007
Plies featuring Tank,soul and reggae,218.04363,The Real Testament,You (featuring Tank) (Amended Album Version),2007
Plump DJs,breaks,348.55138,Eargasm,Contact 00,2003
Plump DJs,breaks,304.45669,Eargasm,Weighed Down,2003
Polkaholix,polka,190.56281,The Great Polka Swindle,Machopolka,2007
Polkaholix,polka,196.93669,The Great Polka Swindle,Krause seine Kreuzpolka,2007
Poncho Sanchez,world,350.27546,Papa Gato,Manteca,1987
Poncho Sanchez,world,427.07546,Latin Spirits,Ju Ju,2001
Poncho Sanchez,world,282.20036,Latin Spirits,Going Back To New Orleans,2001
Poncho Sanchez,world,307.09506,Conga Caliente,Co Co My My,2002
Poncho Sanchez,world,372.37506,El Mejor,Lip Smacker,2004
Poncho Sanchez / Dianne Reeves,world,355.05587,Morning Cup Of Jazz,Morning,1999
Porcupine Tree,progressive rock,162.06322,On The Sunday Of Life,Music For The Head,1991
Porcupine Tree,progressive rock,416.80934,Signify (Special Edition),Waiting,1997
Porcupine Tree,progressive rock,441.88689,In Absentia,Strip The Soul (album version),2002
Porcupine Tree,progressive rock,454.16444,The Incident,Remember Me Lover (Album Version),2009
Portable,south african,369.60608,Gridshift,Don't Give Up,2002
Portable,south african,362.60526,Distance,Theresa,2003
Prince,funk,190.06649,For You,Baby (LP Version),1978
Public Image Ltd,uk,209.3971,Metal Box,The Suit,1979
Public Image Ltd,uk,388.28363,Live In Tokyo,(This Is Not A) Love Song (Live),1983
Public Image Ltd,uk,251.50649,Valse Avec Bachir,This Is Not A Love Song,1983
Public Image Ltd,uk,288.80934,This Is What You Want . . . This Is What You Get,The Order Of Death,1984
Public Image Ltd,uk,492.30322,Compact Disc,Ease,1985
Queens Of The Stone Age,stoner rock,155.61098,Songs For The Deaf,Everybody's Gonna Be Happy,2002
Queens Of The Stone Age,stoner rock,288.41751,Lullabies To Paralyze,I Never Came,2005
Queens Of The Stone Age,stoner rock,82.85995,Lullabies To Paralyze,This Lullaby,2005
Quincy Jones,crossover jazz,204.82567,Watermelon Man,Exodus,1988
Quincy Jones,crossover jazz,196.04853,Take Five,Stormy Weather,1988
R. Carlos Nakai,folk,146.33751,Changes,Blood Round Dance Song (World),1982
R. Carlos Nakai,folk,551.81016,Island of Bows,Red Wind (World),1994
R.E.M.,alternative rock,340.11383,Dead Letter Office: The I.R.S. Years Vintage 1987,Stumble,1982
R.E.M.,alternative rock,163.81342,Murmur - Deluxe Edition,There She Goes Again,1983
R.E.M.,alternative rock,246.17751,Around The Sun,Final Straw (Album Version),2004
R.L. Burnside,delta blues,257.35791,Mr. Wizard,Over The Hill,1997
R.L. Burnside,delta blues,196.88444,First Recordings,Rollin' and Tumblin',2001
R.L. Burnside,delta blues,277.78567,A Bothered Mind,Glory Be,2004
Rachel Portman,production music,199.05261,The Sisterhood of the Traveling Pants 2,Bridget,2008
Rachel Portman,production music,161.43628,The Sisterhood of the Traveling Pants 2,The Letters,2008
Radio Birdman,australia,174.28853,Zeno Beach,Zeno Beach,2006
Radiohead,rock,250.8273,Pablo Honey (Collector's Edition),Stop Whispering (US Version),1993
Radiohead,rock,188.31628,Pablo Honey (Collector's Edition),Vegetable (Live),1993
Radiohead,rock,214.7522,Fake Plastic Trees,Bullet Proof ... I Wish I Was (Acoustic),1995
Radiohead,rock,267.20608,OK Computer (Collector's Edition),Subterranean Homesick Alien,1997
Radiohead,rock,249.93914,The Best Of,Everything In Its Right Place,2000
Radiohead,rock,197.45914,Pyramid Song,Fast-Track,2001
Radiohead,rock,198.47791,The Best Of,2 + 2 = 5,2003
Radiohead,rock,237.21751,In Rainbows,15 Step,2007
Radiohead,rock,281.12934,Fake Plastic Trees,Fake Plastic Trees (Acoustic Version),2009
Radiohead,rock,204.06812,Pablo Honey (Collector's Edition),You (Demo),2009
Rage Against The Machine,funk metal,201.56036,Live at the Grand Olympic Auditorium,Kick Out The Jams,2000
Rainbow,heavy metal,663.24853,On Stage,Still I'm Sad,1975
Rainbow,heavy metal,454.1122,Catch The Rainbow: The Anthology,Rainbow Eyes,1978
Rainbow,heavy metal,299.57179,The Best Of Rainbow,Can't Happen Here,1981
Rakim,us,79.93424,The 18th Letter,Outro,1997
Rakim,us,19.12118,The 18th Letter,Skit,1997
Rakim feat. Tracey Horton,us,291.97016,The Seventh Seal,Won't Be Long,2009
Randy Travis,classic pop and rock,186.3571,Storms Of Life,On The Other Hand (Album Version),1986
Randy Travis,classic pop and rock,198.76526,Wind In The Wire,Down At The Old Corral (Album Version),1993
Randy Travis,classic pop and rock,211.40853,Wind In The Wire,Wind In The Wire (Album Version),1993
Randy Travis,classic pop and rock,176.43057,Full Circle,Don't Take Your Love Away From Me (Album Version),1996
Ras Michael and the Sons of Negus,jamaican,243.98322,Lion Country,Ethiopian Anthem,1978
Rea_ Chris,rock,366.28853,The Road To Hell Part 2,E,1999
Red Hot Chili Peppers,alternative rock,231.23546,Freaky Styley,American Ghost Dance (2003 Digital Remastered),1985
Red Hot Chili Peppers,alternative rock,265.63873,Blood Sugar Sex Magik,Naked In The Rain (Album Version),1991
Red Hot Chili Peppers,alternative rock,193.43628,Blood Sugar Sex Magik,The Greeting Song (Album Version),1991
Red Hot Chili Peppers,alternative rock,198.05995,Californication,Get On Top (Album Version),1999
Red Hot Chili Peppers,alternative rock,240.19546,Californication,Emit Remmus (Album Version),1999
Red Hot Chili Peppers,alternative rock,269.34812,Californication,Parallel Universe (Album Version),1999
Red Hot Chili Peppers,alternative rock,367.01995,By The Way,Venice Queen (Album Version),2002
Red Stick Ramblers,folk,194.0371,My Suitcase Is Always Packed,Why_ Now Baby?,2000
Redman,soul and reggae,185.83465,Whut? The Album,Jam 4 U,1992
Redman,soul and reggae,209.6322,Doc's Da Name 2000,I Got A Seecret,1998
Redman,soul and reggae,124.18567,Malpractice,WKYA (drop),2001
Redman,soul and reggae,199.81016,Malpractice,Muh- F***a,2001
Redman,soul and reggae,209.84118,Red Gone Wild,Suicide,2007
Reel Big Fish,ska,153.67791,Monkeys For Nothin' And The Chimps For Free,Why Do All Girls Think They're Fat (Album),2007
Reel Big Fish,ska,253.09995,Monkeys For Nothin' And The Chimps For Free,Cannibal (Dance Mix),2007
Republica,british,264.22812,Speed Ballads,Pub Pusher,1998
Republica;Jonny Male;Dave Arch,british,303.85587,Republica,Ready To Go,1996
Richard Hawley And Death Ramps_ Arctic Monkeys,british,139.78077,Teddy Picker,Bad Woman,2007
Richard Hell & The Voidoids,classic pop and rock,494.10567,Blank Generation,Another World (Album Version),1977
Rick Astley,uk,225.4624,Whenever You Need Somebody,You Move Me,1987
Rick Astley,uk,211.69587,Big Tunes - Back 2 The 80s,Never Gonna Give You Up,1987
Rick Astley,uk,317.83138,Free,The Bottom Line,1991
Rick Astley,uk,215.09179,Body And Soul,Hopelessly,1993
Rick Astley,uk,184.55465,Portrait,Close To You,2005
Rick Astley,uk,192.10404,Portrait,Nature Boy,2005
Rickie Lee Jones,classic pop and rock,246.62159,Rickie Lee Jones,Danny's All-Star Joint (LP Version),1979
Rickie Lee Jones,classic pop and rock,291.57832,Flying Cowboys,Love Is Gonna Bring Us Back Alive,1989
Rickie Lee Jones,classic pop and rock,314.72281,Live at Red Rocks,Just My Baby,1989
Rickie Lee Jones,classic pop and rock,331.36281,Flying Cowboys,Away From The Sky,1989
Rickie Lee Jones,classic pop and rock,291.97016,Pop Pop,Second Time Around,1991
Ricky Martin,puerto rican,295.33995,Ricky Martin,She's All I Ever Had,1999
Ricky Martin,puerto rican,336.19546,La Historia,Fuego De Noche_ Nieve De DAa,2001
"Ricky Martin Feat. La Mari de ""Chambao",puerto rican,247.87546,Ricky Martin MTV Unplugged,Tu Recuerdo,2008
Rihanna,barbadian,235.98975,Music Of The Sun,Music Of The Sun,2005
Rihanna,barbadian,244.50567,SOS,SOS,2006
Rihanna,barbadian,237.87057,We Ride,We Ride,2006
Rihanna,barbadian,283.8722,Just Dance,Don't Stop The Music,2007
Rihanna,barbadian,208.16934,Good Girl Gone Bad: The Remixes,Good Girl Gone Bad,2007
